time lat long label 
time holder,-90,0,Point-900
time holder,-90,15,Point-9015
time holder,-90,30,Point-9030
time holder,-90,45,Point-9045
time holder,-90,60,Point-9060
time holder,-90,75,Point-9075
time holder,-90,90,Point-9090
time holder,-90,105,Point-90105
time holder,-90,120,Point-90120
time holder,-90,135,Point-90135
time holder,-90,150,Point-90150
time holder,-90,165,Point-90165
time holder,-90,180,Point-90180
time holder,-90,195,Point-90195
time holder,-90,210,Point-90210
time holder,-90,225,Point-90225
time holder,-90,240,Point-90240
time holder,-90,255,Point-90255
time holder,-90,270,Point-90270
time holder,-90,285,Point-90285
time holder,-90,300,Point-90300
time holder,-90,315,Point-90315
time holder,-90,330,Point-90330
time holder,-90,345,Point-90345
time holder,-90,360,Point-90360
time holder,-75,0,Point-750
time holder,-75,15,Point-7515
time holder,-75,30,Point-7530
time holder,-75,45,Point-7545
time holder,-75,60,Point-7560
time holder,-75,75,Point-7575
time holder,-75,90,Point-7590
time holder,-75,105,Point-75105
time holder,-75,120,Point-75120
time holder,-75,135,Point-75135
time holder,-75,150,Point-75150
time holder,-75,165,Point-75165
time holder,-75,180,Point-75180
time holder,-75,195,Point-75195
time holder,-75,210,Point-75210
time holder,-75,225,Point-75225
time holder,-75,240,Point-75240
time holder,-75,255,Point-75255
time holder,-75,270,Point-75270
time holder,-75,285,Point-75285
time holder,-75,300,Point-75300
time holder,-75,315,Point-75315
time holder,-75,330,Point-75330
time holder,-75,345,Point-75345
time holder,-75,360,Point-75360
time holder,-60,0,Point-600
time holder,-60,15,Point-6015
time holder,-60,30,Point-6030
time holder,-60,45,Point-6045
time holder,-60,60,Point-6060
time holder,-60,75,Point-6075
time holder,-60,90,Point-6090
time holder,-60,105,Point-60105
time holder,-60,120,Point-60120
time holder,-60,135,Point-60135
time holder,-60,150,Point-60150
time holder,-60,165,Point-60165
time holder,-60,180,Point-60180
time holder,-60,195,Point-60195
time holder,-60,210,Point-60210
time holder,-60,225,Point-60225
time holder,-60,240,Point-60240
time holder,-60,255,Point-60255
time holder,-60,270,Point-60270
time holder,-60,285,Point-60285
time holder,-60,300,Point-60300
time holder,-60,315,Point-60315
time holder,-60,330,Point-60330
time holder,-60,345,Point-60345
time holder,-60,360,Point-60360
time holder,-45,0,Point-450
time holder,-45,15,Point-4515
time holder,-45,30,Point-4530
time holder,-45,45,Point-4545
time holder,-45,60,Point-4560
time holder,-45,75,Point-4575
time holder,-45,90,Point-4590
time holder,-45,105,Point-45105
time holder,-45,120,Point-45120
time holder,-45,135,Point-45135
time holder,-45,150,Point-45150
time holder,-45,165,Point-45165
time holder,-45,180,Point-45180
time holder,-45,195,Point-45195
time holder,-45,210,Point-45210
time holder,-45,225,Point-45225
time holder,-45,240,Point-45240
time holder,-45,255,Point-45255
time holder,-45,270,Point-45270
time holder,-45,285,Point-45285
time holder,-45,300,Point-45300
time holder,-45,315,Point-45315
time holder,-45,330,Point-45330
